"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.898094666E2,4.821834588E1,1.162786065E1,4.938398285E2,2.135286713E1,1.987381897E2,8.844699335E0,8.001208274E0,8.001208274E0,0.000000000E0
4.908094739E2,4.821816349E1,1.162777476E1,4.938604107E2,2.096540070E1,1.987381897E2,8.866810751E0,8.001208274E0,8.001208274E0,0.000000000E0
4.918094809E2,4.821797835E1,1.162766584E1,4.940243525E2,2.118644905E1,1.987381897E2,8.888537772E0,8.001208274E0,8.001208274E0,0.000000000E0
4.928094865E2,4.821779715E1,1.162755614E1,4.941908748E2,2.118644905E1,1.979894257E2,8.909097978E0,8.001208274E0,8.001208274E0,0.000000000E0
4.938094926E2,4.821761959E1,1.162747870E1,4.942781142E2,2.118644905E1,1.983788452E2,8.931253188E0,8.001208274E0,8.001208274E0,0.000000000E0
4.948094987E2,4.821743115E1,1.162738155E1,4.943900547E2,2.017015648E1,1.983788452E2,8.951753954E0,8.001208274E0,8.001208274E0,0.000000000E0
4.958095043E2,4.821725470E1,1.162730132E1,4.942811682E2,2.021928024E1,1.986225586E2,8.974129162E0,8.001208274E0,8.001208274E0,0.000000000E0
4.968095090E2,4.821706593E1,1.162719674E1,4.940520910E2,2.021928024E1,1.986225586E2,8.995578595E0,8.001208274E0,8.001208274E0,0.000000000E0
4.978095133E2,4.821688109E1,1.162711391E1,4.940988916E2,2.097313499E1,1.985566711E2,9.018414458E0,8.001208274E0,8.001208274E0,0.000000000E0
4.988095188E2,4.821668495E1,1.162702258E1,4.941938243E2,2.118762970E1,1.985566711E2,9.038948196E0,8.001208274E0,8.001208274E0,0.000000000E0
4.998095225E2,4.821651176E1,1.162692640E1,4.940225376E2,2.121993828E1,1.984114075E2,9.060336082E0,8.001208274E0,8.001208274E0,0.000000000E0
5.008095272E2,4.821633019E1,1.162683114E1,4.938878552E2,2.121993828E1,1.984114075E2,9.081962815E0,8.001208274E0,8.001208274E0,0.000000000E0
5.018095304E2,4.821614367E1,1.162674840E1,4.938526889E2,2.123517036E1,1.984114075E2,9.102479959E0,8.001208274E0,8.001208274E0,0.000000000E0
5.028095337E2,4.821597315E1,1.162664261E1,4.940639001E2,2.124408531E1,1.984114075E2,9.122395171E0,8.001208274E0,8.001208274E0,0.000000000E0
5.038095381E2,4.821580236E1,1.162656169E1,4.942730522E2,2.165967560E1,1.986528168E2,9.144898549E0,8.001208274E0,8.001208274E0,0.000000000E0
5.048095411E2,4.821560888E1,1.162647264E1,4.943965797E2,2.159909248E1,1.986528168E2,9.165122511E0,8.001208274E0,8.001208274E0,0.000000000E0
5.058095446E2,4.821543716E1,1.162638268E1,4.944730377E2,2.159909248E1,1.986528168E2,9.185328578E0,8.001208274E0,8.001208274E0,0.000000000E0
5.068095472E2,4.821526411E1,1.162629943E1,4.943819714E2,2.088065720E1,1.986528168E2,9.205697671E0,8.001208274E0,8.001208274E0,0.000000000E0
5.078095498E2,4.821508838E1,1.162622185E1,4.941120493E2,2.088065720E1,1.986528168E2,9.226974606E0,8.001208274E0,8.001208274E0,0.000000000E0
5.088095527E2,4.821490672E1,1.162613163E1,4.939221848E2,2.086441231E1,1.986528168E2,9.246926841E0,8.001208274E0,8.001208274E0,0.000000000E0
5.098095549E2,4.821473888E1,1.162603639E1,4.939090211E2,2.085231209E1,1.986528168E2,9.266919968E0,8.001208274E0,8.001208274E0,0.000000000E0
5.108095577E2,4.821456876E1,1.162594902E1,4.941330892E2,2.085623741E1,1.986528168E2,9.287515117E0,8.001208274E0,8.001208274E0,0.000000000E0
5.118095607E2,4.821439247E1,1.162586379E1,4.943048552E2,2.085623741E1,1.986528168E2,9.308970911E0,8.001208274E0,8.001208274E0,0.000000000E0
5.128095624E2,4.821420912E1,1.162577355E1,4.944153057E2,2.079292107E1,1.984014130E2,9.331117948E0,8.001208274E0,8.001208274E0,0.000000000E0
5.138095645E2,4.821401945E1,1.162568231E1,4.944846332E2,2.079292107E1,1.984014130E2,9.350258871E0,8.001208274E0,8.001208274E0,0.000000000E0
5.148095661E2,4.821385998E1,1.162558507E1,4.944411387E2,2.130128670E1,1.979706573E2,9.372651125E0,8.001208274E0,8.001208274E0,0.000000000E0
5.158095689E2,4.821366858E1,1.162549111E1,4.942246433E2,2.130128670E1,1.983319855E2,9.393977924E0,8.001208274E0,8.001208274E0,0.000000000E0
5.168095704E2,4.821348262E1,1.162542063E1,4.943650421E2,2.115813446E1,1.983319855E2,9.415751486E0,8.001208274E0,8.001208274E0,0.000000000E0
5.178095725E2,4.821329629E1,1.162533029E1,4.944594469E2,2.090427017E1,1.983319855E2,9.435762274E0,8.001208274E0,8.001208274E0,0.000000000E0
5.188095734E2,4.821312371E1,1.162525373E1,4.944436189E2,2.056322861E1,1.984540710E2,9.456570439E0,8.001208274E0,8.001208274E0,0.000000000E0
5.198095759E2,4.821295007E1,1.162514903E1,4.945317394E2,2.079008865E1,1.984540710E2,9.476049959E0,8.001208274E0,8.001208274E0,0.000000000E0
5.208095776E2,4.821278396E1,1.162506554E1,4.946583249E2,2.056322861E1,1.984557648E2,9.497504237E0,8.001208274E0,8.001208274E0,0.000000000E0
5.218095789E2,4.821260273E1,1.162496619E1,4.946478023E2,2.035441208E1,1.984866791E2,9.517185926E0,8.001208274E0,8.001208274E0,0.000000000E0
5.228095806E2,4.821243580E1,1.162487786E1,4.946462557E2,1.942492867E1,1.995011902E2,9.535757165E0,8.001208274E0,8.001208274E0,0.000000000E0
5.238095813E2,4.821227891E1,1.162479190E1,4.945546398E2,1.942492867E1,1.995011902E2,9.553609059E0,8.001208274E0,8.001208274E0,0.000000000E0
5.248095829E2,4.821212459E1,1.162472546E1,4.942981211E2,1.935602760E1,1.988632355E2,9.573631019E0,8.001208274E0,8.001208274E0,0.000000000E0
5.258095846E2,4.821195380E1,1.162463991E1,4.940447226E2,1.935602760E1,1.988632355E2,9.594354625E0,8.001208274E0,8.001208274E0,0.000000000E0
5.268095859E2,4.821177437E1,1.162456425E1,4.938858989E2,1.996602821E1,1.988632355E2,9.615752095E0,8.001208274E0,8.001208274E0,0.000000000E0
5.278095874E2,4.821159363E1,1.162446515E1,4.938962189E2,2.079269791E1,1.988632355E2,9.637002909E0,6.000906205E0,6.000906205E0,0.000000000E0
5.288095882E2,4.821141729E1,1.162435456E1,4.941149999E2,2.079269791E1,1.988632355E2,9.657018387E0,6.000906205E0,6.000906205E0,0.000000000E0
5.298095894E2,4.821124883E1,1.162425941E1,4.944132391E2,2.079269791E1,1.988632355E2,9.677041128E0,6.000906205E0,6.000906205E0,0.000000000E0
5.308095913E2,4.821107939E1,1.162416795E1,4.939490022E2,2.036142731E1,1.996074524E2,9.696186203E0,6.000906205E0,6.000906205E0,0.000000000E0
5.318095919E2,4.821091304E1,1.162410129E1,4.935655625E2,2.036142731E1,1.996074524E2,9.716159074E0,8.001208274E0,8.001208274E0,0.000000000E0
5.328095927E2,4.821074282E1,1.162401523E1,4.932844305E2,2.013493919E1,1.987390442E2,9.735472414E0,8.001208274E0,8.001208274E0,0.000000000E0
5.338095943E2,4.821057863E1,1.162393022E1,4.931006936E2,1.995917320E1,1.983732452E2,9.754468384E0,8.001208274E0,8.001208274E0,0.000000000E0
5.348095949E2,4.821041684E1,1.162384791E1,4.929725117E2,1.921454620E1,1.983732452E2,9.774558891E0,8.001208274E0,8.001208274E0,0.000000000E0
5.358095965E2,4.821024530E1,1.162376279E1,4.928999887E2,1.921454620E1,1.983732452E2,9.792688200E0,8.001208274E0,8.001208274E0,0.000000000E0
5.368095980E2,4.821009303E1,1.162367533E1,4.928816516E2,1.868699265E1,1.974382782E2,9.810838453E0,8.001208274E0,8.001208274E0,0.000000000E0
5.378095986E2,4.820993600E1,1.162360847E1,4.929156441E2,1.866736603E1,1.987049866E2,9.828137038E0,8.001208274E0,8.001208274E0,0.000000000E0
5.388095994E2,4.820978786E1,1.162353717E1,4.931863650E2,1.778116226E1,1.986682434E2,9.844177786E0,8.001208274E0,8.001208274E0,0.000000000E0
5.398096002E2,4.820964920E1,1.162347745E1,4.933227133E2,1.778116226E1,1.986682434E2,9.862315938E0,8.001208274E0,8.001208274E0,0.000000000E0
